"ITIL","Information Technology Infrastructure Library","unlearned"
"SPOC","Single Point Of Contact。サービスデスクがはっきりしていること","unlearned"
"運用規定","運用組織やサービスの概要を定める","unlearned"
"運用マニュアル","定常作業用、非定常作業用に分ける","unlearned"
"マインドフル","マニュアル外の問題でも解決できること。⇔マインドレス","unlearned"
"EUC","End User Computing","unlearned"
"オンサイト保守、オフサイト保守","実作業をベンダがするのか、自分たちでするのか","unlearned"
"SLA","Service Level Agreement","unlearned"
"業者との間に決めるべきもの","責任分界点、切り分け手順、連絡手順、役割分担","unlearned"
"稼働監視","複数のネットワーク階層に行う、業務用ネットワークの影響を受けなくする、アラートを集約する。","unlearned"
"アラートの集約","経路途中でのエラーはすべてまとめる、定期確認のエラーは最初の1度のみにする","unlearned"
"性能監視","定期的にポーリングしMIB情報を取得するなどして性能劣化の兆候を見つける","unlearned"
"ログ監視","フィルタリングして見やすくする、重要なログは短い間隔で検査する","unlearned"
"バックアップ","フルバックアップ、増分バックアップ、差分バックアップを使い分ける。","unlearned"
"差分バックアップ","前回のフルバックアップからの変更が対象","unlearned"
"パッチの更新","適用方針を事前に決めておく。自動更新しないなら検証環境でテスト","unlearned"
"移行の方式","一括移行、段階的移行","unlearned"
"切り戻し","チェックポイントを求め、次に進むかを判断。所要時間を求めデッドタイムラインを決めておく必要がある","unlearned"
"変更管理","変更を行うべきかを考える。変更可否を判断。性能やコストの計算も重要","unlearned"
"構成管理","構成要素の関連を管理する","unlearned"
"構成管理で重要なこと","一元管理する、構成要素を識別子ラベルを張る、速やかに更新する","unlearned"
"緊急を要する判断","権限と責任をあらかじめ定めておく","unlearned"
"必要なドキュメント","構成図、設備台帳、物資の管理台帳、契約書類、資産管理台帳","unlearned"
"インシデント管理、問題管理","復旧させる、原因究明して再発防止する","unlearned"
"エスカレーション","サービスデスクで対応できなければサポート部門に投げる","unlearned"
"インシデントの対応手順","検出と記録、種類と優先度を判別、初期診断とエスカレーション、連絡、調査と診断、復旧策の実施、クローズ","unlearned"
"切り分け","インシデントがどこで起きているかを特定する。原因不明なら正常なものと交換する","unlearned"
"既知のエラー","原因と対応策が明らかになったエラー","unlearned"
"早期対応への手段","インシデント対応の表かと見直し、記録のデータベース化、マニュアル作成、訓練、バックアップを取る","unlearned"
"LLDP","Link Layer Discovery Protocol。隣接機器の情報をMIBに保存。各機器からMIBを収集するとネットワーク構成を把握できる","unlearned"
"ifOperStatus","インターフェースがアップしているか？","unlearned"
"MIB","Management Information Base。ASN.1に従う","unlearned"
"SMI","Structure of Management Information","unlearned"
"SNMPのポーリング","GetRequest, GetNextRequest, GetBulkRequest→Response","unlearned"
"MIBの設定要求","SetRequest","unlearned"
"Trapの改良","InformRequest→Response","unlearned"
"SNMPの上位層","UDP","unlearned"
"再起動のトラップイベント","coldStart","unlearned"
"初期化のトラップイベント","warmStart","unlearned"
"リンクに関するトラップイベント","linkUp,linkDown","unlearned"
"認証に関するトラップイベント","authenticationFailure","unlearned"
"SNMPのセキュリティ機構","コミュニティ名で認証。失敗したら認証トラップを発行。","unlearned"
"SNMPv3のセキュリティ機構","コミュニティ名以外にUSM。ユーザごとに細かく変えられ、暗号化もされる。","unlearned"
"RMON","Remote network MONitoring","unlearned"
"MIBのOID","iso org dod internet mgmt mib-2 ...","unlearned"
"OID","Object Identifier。.1.3.6.1.2.1.1のようにドット区切りか、名前区切りで表される","unlearned"
"ifInOctets","インターフェースが受信したオクテット数。.1.3.6.1.2.1.2.2.10","unlearned"
"sysUpTime","システム起動後の時間","unlearned"
"標準MIB、拡張MIB","RFC、ベンダ固有","unlearned"
